A11,A12,A13,Q1,A14,Q2,Q02,A30,A31,A32,A33,A34,Q3,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,Q5,Q05,QQ5,A61,A62,A63,A64,A65,Q06,A71,A72,A73,A74,A75,Q8,A91,A92,A93,A94,A95,A101,A102,A103,Q11,A121,A122,A123,A124,Q13,A141,A142,A143,A151,A152,A153,Q16,A171,A172,A173,A174,Q18,A191,A192,A202,Type1,Type2
0,1,0,2,0,12,2,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1804,2,0.0902,0,1,0,0,0,2,0,1,0,0,0,4,0,0,1,0,0,1,0,0,4,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
0,0,0,0,1,10,1,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,2069,3,0.10345,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,2,0,0,1,0,1,1,0,1,0,1
1,0,0,1,0,6,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1374,2,0.0687,1,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1
0,0,0,0,1,6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,426,1,0.0213,1,0,0,0,0,1,0,0,0,0,1,4,0,0,0,1,0,1,0,0,4,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1
0,0,1,3,0,12,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,409,1,0.02045,0,0,0,1,0,4,0,0,1,0,0,3,0,1,0,0,0,1,0,0,3,1,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,1,1,0,0,0,1
0,1,0,2,0,7,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,2415,3,0.12075,1,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
0,1,0,2,0,18,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1913,2,0.09565,0,0,0,1,0,4,0,1,0,0,0,3,0,0,0,1,0,1,0,0,3,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1
1,0,0,1,0,24,3,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,4020,4,0.201,1,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1
0,1,0,2,0,18,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,5866,5,0.2933,0,1,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,1,0,2,0,0,1,0,1,0,1,0,0,1
0,0,0,0,1,12,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,1264,2,0.0632,0,0,0,0,1,0,0,0,0,0,1,4,0,0,1,0,0,1,0,0,4,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1
0,0,1,3,0,12,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1474,2,0.0737,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1
0,0,0,0,1,48,5,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,6110,5,0.3055,1,0,0,0,0,1,0,0,1,0,0,3,0,0,1,0,0,1,0,0,3,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1
0,0,1,3,0,10,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1225,2,0.06125,1,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1
0,1,0,2,0,9,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,458,1,0.0229,1,0,0,0,0,1,0,0,1,0,0,3,0,0,1,0,0,1,0,0,3,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
0,0,0,0,1,30,3,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,2333,3,0.11665,0,0,1,0,0,3,0,0,0,0,1,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1
0,1,0,2,0,12,2,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1158,2,0.0579,0,0,1,0,0,3,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1
0,1,0,2,0,18,2,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,6204,5,0.3102,1,0,0,0,0,1,0,0,1,0,0,4,0,0,1,0,0,1,0,0,4,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,2,0,1,0,0,1
1,0,0,1,0,30,3,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,6187,5,0.30935,0,1,0,0,0,2,0,0,0,1,0,4,0,0,0,1,0,1,0,0,4,0,0,1,0,1,0,0,1,1,0,0,2,0,0,1,0,1,1,0,0,0,1
0,0,0,0,1,11,2,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1393,2,0.06965,1,0,0,0,0,1,0,1,0,0,0,4,0,1,0,0,0,1,0,0,4,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,1,1,1,0,0,0,1
0,0,0,0,1,36,4,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,2299,3,0.11495,0,0,1,0,0,3,0,0,0,0,1,4,0,0,1,0,0,1,0,0,4,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
1,0,0,1,0,6,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1352,2,0.0676,0,0,1,0,0,3,1,0,0,0,0,2,0,1,0,0,0,1,0,0,2,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1
0,0,0,0,1,11,2,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,7228,5,0.3614,1,0,0,0,0,1,0,0,1,0,0,4,0,0,1,0,0,1,0,0,4,0,1,0,0,0,0,0,1,0,1,0,2,0,1,0,0,1,1,0,0,0,1
0,0,0,0,1,12,2,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,2073,3,0.10365,0,1,0,0,0,2,0,0,1,0,0,2,0,1,0,0,0,0,1,0,2,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
0,1,0,2,0,24,3,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,2333,3,0.11665,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,2,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1
0,1,0,2,0,27,3,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,5965,5,0.29825,1,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,1,1,0,1,0,0,1
0,0,0,0,1,12,2,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1262,2,0.0631,1,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
0,0,0,0,1,18,2,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,3378,4,0.1689,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1
0,0,0,0,1,6,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,783,1,0.03915,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,2,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,2,1,0,0,0,1
0,0,0,0,1,36,4,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,9566,5,0.4783,1,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,1,0,2,0,0,1,0,1,1,0,0,0,1
0,0,1,3,0,18,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1961,2,0.09805,1,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,1,0,0,2,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1
0,1,0,2,0,9,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1391,2,0.06955,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1
0,1,0,2,0,15,2,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,1537,2,0.07685,0,0,0,0,1,0,0,0,0,0,1,4,0,0,1,0,0,0,0,1,4,1,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,1,0,1,0,0,1
0,0,0,0,1,24,3,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,3181,4,0.15905,1,0,0,0,0,1,0,1,0,0,0,4,0,1,0,0,0,1,0,0,4,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1
0,0,0,0,1,27,3,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,5190,5,0.2595,0,0,0,0,1,0,0,0,0,0,1,4,0,0,1,0,0,1,0,0,4,0,1,0,0,0,0,0,1,0,1,0,4,0,0,1,0,2,0,1,0,0,1
0,0,0,0,1,12,2,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,2171,3,0.10855,1,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,1,0,0,2,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1
0,1,0,2,0,12,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1007,2,0.05035,0,0,0,1,0,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
0,0,0,0,1,36,4,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,2394,3,0.1197,0,0,0,0,1,0,0,0,1,0,0,4,0,1,0,0,0,1,0,0,4,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
0,0,0,0,1,36,4,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,8133,5,0.40665,1,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1
0,0,0,0,1,7,1,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,730,1,0.0365,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,1,0,0,1
1,0,0,1,0,8,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1164,2,0.0582,1,0,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,1,0,0,4,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,1,2,0,1,0,0,1
0,1,0,2,0,42,5,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,5954,5,0.2977,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,12,2,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1526,2,0.0763,1,0,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,1,0,0,4,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,1,1,1,0,0,0,1
0,1,0,2,0,11,2,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,4771,4,0.23855,1,0,0,0,0,1,0,0,0,1,0,4,0,0,1,0,0,1,0,0,4,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
0,0,0,0,1,54,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9436,5,0.4718,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,2,1,0,0,0,1
0,1,0,2,0,30,3,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,3832,4,0.1916,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
0,0,0,0,1,15,2,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1213,2,0.06065,0,0,1,0,0,3,0,0,0,0,1,3,0,0,1,0,0,1,0,0,3,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1
0,0,0,0,1,18,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1568,2,0.0784,0,1,0,0,0,2,0,0,1,0,0,4,0,1,0,0,0,1,0,0,4,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,24,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1755,2,0.08775,1,0,0,0,0,1,0,0,0,0,1,4,0,1,0,0,0,0,0,1,4,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1
1,0,0,1,0,10,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,2315,3,0.11575,1,0,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,1,0,0,4,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1
0,0,0,0,1,12,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,1412,2,0.0706,1,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,1,2,1,0,0,0,1,0,0,1,0,1,0,2,0,0,0,1,1,0,1,0,0,1
0,1,0,2,0,18,2,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,1295,2,0.06475,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,2,0,0,1,0,1,1,0,0,0,1
1,0,0,1,0,18,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,2249,3,0.11245,0,1,0,0,0,2,0,0,0,1,0,3,0,0,1,0,0,1,0,0,3,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,2,0,1,0,0,1
0,0,0,0,1,12,2,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,618,1,0.0309,1,0,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,1,0,0,4,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
1,0,0,1,0,12,2,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1409,2,0.07045,1,0,0,0,0,1,0,0,0,0,1,3,0,0,1,0,0,1,0,0,3,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
0,0,1,3,0,24,3,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,3617,4,0.18085,0,0,0,0,1,0,0,0,0,0,1,4,0,0,1,0,0,0,1,0,4,0,0,0,1,1,0,0,1,1,0,0,2,0,0,1,0,1,1,0,0,0,1
0,1,0,2,0,12,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1318,2,0.0659,0,0,0,1,0,4,0,0,0,0,1,4,0,0,1,0,0,1,0,0,4,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1
0,0,0,0,1,12,2,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,2012,3,0.1006,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
0,1,0,2,0,18,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,2622,3,0.1311,0,1,0,0,0,2,0,0,1,0,0,4,0,0,1,0,0,1,0,0,4,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
0,1,0,2,0,36,4,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,2337,3,0.11685,1,0,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,1,0,0,4,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
0,1,0,2,0,20,2,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,7057,5,0.35285,0,0,0,0,1,0,0,0,0,1,0,4,0,0,1,0,0,1,0,0,4,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,1,2,0,1,0,0,1
0,0,0,0,1,24,3,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1469,2,0.07345,0,1,0,0,0,2,0,0,0,0,1,4,0,0,0,1,0,1,0,0,4,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1
0,1,0,2,0,36,4,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,2323,3,0.11615,1,0,0,0,0,1,0,0,0,1,0,4,0,0,1,0,0,1,0,0,4,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1
0,0,0,0,1,6,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,932,1,0.0466,1,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,1,0,0,2,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
0,1,0,2,0,9,1,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,1919,2,0.09595,1,0,0,0,0,1,0,0,0,1,0,3,0,0,1,0,0,1,0,0,3,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1
0,0,0,0,1,12,2,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,2445,3,0.12225,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,1,0,1,0,0,4,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1
0,1,0,2,0,12,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,6078,5,0.3039,1,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
1,0,0,1,0,24,3,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,7721,5,0.38605,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1
0,1,0,2,0,14,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1410,2,0.0705,0,0,1,0,0,3,0,0,0,0,1,2,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1
0,1,0,2,0,6,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,1449,2,0.07245,0,1,0,0,0,2,0,0,0,0,1,2,1,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,1,0,2,0,0,1,0,2,1,0,0,0,1
0,0,1,3,0,15,2,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,392,1,0.0196,1,0,0,0,0,1,0,1,0,0,0,4,0,1,0,0,0,1,0,0,4,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1
0,1,0,2,0,18,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,6260,5,0.313,1,0,0,0,0,1,0,0,0,1,0,3,0,0,1,0,0,1,0,0,3,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,12,2,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1680,2,0.084,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
0,0,0,0,1,48,5,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,3578,4,0.1789,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1
1,0,0,1,0,10,1,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,2132,3,0.1066,0,0,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,1,0,3,1,0,0,0,1,0,0,1,1,0,0,2,0,0,1,0,1,1,0,1,0,1
0,1,0,2,0,12,2,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,2366,3,0.1183,0,0,1,0,0,3,0,0,0,1,0,3,1,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1
0,0,0,0,1,24,3,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,3868,4,0.1934,1,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,1,1,0,1,0,0,1
0,0,0,0,1,12,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1768,2,0.0884,1,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1
0,0,1,3,0,10,1,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,781,1,0.03905,1,0,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,1,0,0,4,0,0,0,1,0,0,0,1,0,0,1,2,0,0,1,0,1,0,1,0,0,1
1,0,0,1,0,12,2,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,2121,3,0.10605,1,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,1,0,2,0,0,1,0,1,1,0,0,0,1
1,0,0,1,0,12,2,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,701,1,0.03505,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1
